,Unnamed: 0,Tweets,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,1,"Just spoke to H.E. President 
@RTErdogan
 to express our profound condolences & prayers at the human & material losses in the earthquake. I told the  President that Pakistan would do anything to help their Turkish brothers & sisters during this challenging time.",,,
1,2,I welcome Supreme Court taking suo motu notice of the murder of journalist Arshad Sharif. I had already written a letter to Honorable Chief Justice of Pakistan for setting up a Judicial Commission to probe the murder. The government will extend full cooperation to the Court.,,,
2,3,"I convey my heartfelt condolences to the government and the brotherly people of Türkiye  on the loss of precious lives & damage to the infrastructure due to the floods in the earthquake-affected regions. 

Prayers for the early recovery of the injured.",,,
3,4,"The increasing incidence of HIV & Aids among the children & adolescents is deeply worrying. I urge Ministry of Health to focus on awareness about testing, prevention & treatment to fight scourge. On World Aids Day today, let us all vow to end the stigma attached with HIV.",,,
4,5,"At High-Level Segment of #COP27, I presented flood devastation in Pakistan as an example of what climate change can do to a country. I drew the attention of the global leaders to the need for bridging massive financing gaps, inclusion of loss & damage in the agenda.",,,
5,6,"About 300 including 124 people from Balochistan have lost lives in the floods. Although there is no compensation for huaman life, the federal govt is paying Rs. 10 lakh to every household of the deceased. I have also ordered increase in financial assistance for damaged houses",,,
6,7,Our non-Muslim citizens are an integral part of our national fabric. Today we celebrate their valuble contributions & thank them for their service to the country. Our founding fathers envisaged Pakistan as a pluralistic society in which all are equal citizens of the state.,,,
7,8,"My brother H.E. President 
@RTErdogan
 highlights the need for the continued international assistance to help Pakistan deal with the disastrous floods. We thank the President for his consistent support for rights of Kashmiris of IIOJK.   #UNGA",,,
8,9,"It has been a year today that my brother and long-time friend Parvez Malik left us. He was a very reliable, matter-of-fact and intelligent person. The way he supported Pakistan Muslim League-N and Mian Nawaz Sharif is a priceless story of commitment and loyalty to the party. His services will always be remembered.",,,
9,10,"Islamic Development Bank is the largest contributor to over $9 billion pledged at the conference. We are extremely grateful to the IDB Board & member countries for their kind gesture of committing $ 4.2 billion, which will help us significantly in our reconstruction efforts.",,,
10,11,"I extend my congratulations to Her Excellency 
@trussliz
 on her appointment as Prime Minister of the United Kingdom. The UK is Pakistan's time-tested friend and one of our largest trading & development partners. I am keen to work with her to further promote our historic relations.",,,
11,12,Deeply sad to learn about the loss of precious lives & damage due to flooding in brotherly Afghanistan. I urge the international community to help the already suffering Afghan people on emergency basis. Pakistan will also extend it's assistance to our Afghan brothers & sisters.,,,
12,13,"Least Developed Countries have been badly affected by climate change, post-pandemic & geo-strategic disruption in food & energy supply chains. These global events have left them vulnerable. LDCs will be better served by putting welfare of people at the center of public policy 2/2",,,
13,14,"I am highly grateful to my brother H.E. President Erdogan 
@RTErdogan
 for his kind message of solidarity at Resilient Pakistan Conference. He personally led Türkiye’s rescue & relief efforts for the flood-affected people of Pakistan. We greatly acknowledge ’s contributions.",,,
14,15,Energy imports are the biggest item on our import bill. Pakistan cannot ensure its economic security through heavy reliance on energy imports whose prices have increased sharply. Massive Thar coal reserves offer a grand window of opportunity & they occupy top place on our agenda.,,,
15,16,"On behalf of the people & government of Pakistan, I wish to extend our profound felicitations to H.H. Sheikh Nawaf Al-Ahmad Al-Jaber Al-Sabah, the Amir & people of the State of Kuwait  on their National Day. We  are keen to further build on our excellent bilateral relations.",,,
16,17,"Pakistan joins the global community today in observing Earth Hour & demonstrating its commitment to the fulfilment of its obligations to climate change actions. Saving our planet from the ill-effects of climate change is a collective endeavour, one in which everyone matters.",,,
17,18,"On the National Day of China, I extend our heartiest greetings to H.E. President Xi Jinping, H.E. Premier Li Keqiang & the people of China. The peaceful rise of China as the second largest economy & paramount global power is a source of stability in a perpetually changing world.",,,
18,19,Listening to the heart-wrenching tales of the earthquake victims in Adiyaman  was a deeply painful experience. The scale of destruction as far as one could see was overwhelming. I met a young boy who lost both his parents. May Allah help the victims overcome this ordeal!,,,
19,20,The Election Commission's decision in the PTI foreign funding case is an indictment against Imran Khan that he submitted false affidavits and violated the Constitution of Pakistan by receiving illegal foreign funding. He has once again proved to be the most untruthful person. The nation should consider the political implications of foreign funding,,,
20,21,"Every speech of Imran Niazi is a proof of his unfitness for any public office. Under his direct leadership, PTI conducted a systematic campaign of mudslinging on national institutions, which caused irreparable damage to Pakistan. In his lust for power, Imran Niazi is creating a shameful chapter of Machiavellian politics.",,,
21,22,I wish H.E. President Biden speedy and complete recovery from corona.,,,
22,23,Grieved to learn about the loss of precious human lives in Bangladesh and India due to floods. My thoughts and prayers are with the affected families.,,,
23,24,"I visited the flood affected areas of Sindh yesterday where millions of innocent children, elderly and women are still suffering the punishment of climate change in extreme cold and destitution. We all need to support these Pakistanis in this difficult time.",,,
24,25,"Haha … I believe it from the core of my heart. And, not just in cricket, we will bounce back in every other field too, InshaAllah.",,,
25,26,Kashmir Martyrs' Day is a day to remember the great sacrifices of Kashmiris for achieving the inalienable right of referendum given by the UN. Kashmiris have kept the candle of freedom burning by making unprecedented sacrifices from generation to generation to get rid of Indian occupation and have refused to accept Indian slavery.,,,
26,27,"By inaugurating the digital program for professional training of teachers and the teleschool app for students, I have laid the foundation for digitalization innovation in the education sector today. By equipping the new generation with the jewel of education instead of stones and slings, we will spread the light of education and skill in the country instead of chaos.",,,
27,28,"Thank you President 
@JoeBiden
 for highlighting the plight of the flood victims in Pakistan and urging the world for an immediate response, as my country is facing the ravages of unprecedented floods. The calls of stranded women & children for help need to be heeded to. #UNGA",,,
28,29,"Always a pleasure to meet my friend H.E. 
@antonioguterres
. Today we reviewed the task of rehabilitation. I thanked SG for creating UN inter-agency team to prepare a comprehensive reconstruction plan. His empathetic leadership is key to addressing climate change.#COP27 
@COP27P
 ",,,
29,30,"World Population Day, being observed today, underlines our shared challenge of rendering populations into demographic dividends through policies that ensure socio-economic rights. We r working toward aligning our development priorities with needs of our people on long-term basis.",,,
30,31,"Met members of international media today to brief them about flood ravages in Pakistan.The devastation is evidence of seriousness of the threat posed by climate change.Despite having less than 1% share in carbon emission, we are ranked 8th in terms of exposure to climate hazards.",,,
31,32,"Strongly condemn terrorist attack on the security forces personnel from across the border in Dewagar, N Waziristan. Our three soldiers sacrificed their lives in defending the motherland.  These sacrifices are a message that no one should dare cast an evil eye on Pakistan.",,,
32,33,"Personally, I am deeply touched by the Chinese adherence to remarkable work ethic & national discipline. This explains how China has been able to lift 800 million people out of acute poverty. At this stage in our national life, work, work & work alone can lift us out of crises.",,,
33,34,"While visiting flood-hit shelter camps along with UN Secretary General 
@antonioguterres
 in Balochistan today, we met a family that Allah had blessed with a baby boy a night before. I saw this birth as a sign of hope, regeneration & renewal amid an unfolding human tragedy.",,,
34,35,"Today, during my visit to the flood affected areas of Balochistan, I was told that the people trapped in the flood in Kamrat, including the students, have been rescued. Alhamdulillah. As soon as this was brought to my knowledge yesterday, I directed them to use all resources to rescue them. All the officials including the Pakistan Army deserve kudos for this.",,,
35,36,"Climate change is a reality of the present era, as a result of which developing countries like Pakistan are being severely affected. The recent rains and flood situation are a link in this chain. The government is aligning its development goals with the needs of climate change.",,,
36,37,"At Apex Committee meeting today, civil & military leadership expressed unflinching resolve to protect the people of Pakistan at any cost. Those who attacked innocent citizens will be brought to justice. We will not allow anti-terror gains to be reversed. 1/3",,,
37,38,"Let me make two things absolutely clear here. First, it is a direct tax on the income of people & industries falling in certain categories of income. Secondly, the proceeds from this measure will be spent in the most productive of ways for people facing financial constraints.",,,
38,39,"NSC took some major decisions yesterday after hours-long deliberations. Two of them stand out: State of Pakistan will adopt zero tolerance policy for terrorists challenging its writ. Peace is non-negotiable. Two, economic roadmap will revive economy & provide relief to the people",,,
39,40,"We gratefully acknowledge the aid commitment of € 88 million by Germany  during Resilient Pakistan  Conference to help Pakistan's flood recovery efforts. With the global solidarity and partnership, we are resolved to build back better with resilience.",,,
40,41,"Brilliant effort, Team Pakistan  . Great game!",,,
41,42,"During my foreign visits, I have focused my time & energy on repairing the damage done to our relations with friendly countries during the past 4 years. We have prioritized areas for mutual cooperation in the fields of IT, commerce, finance, energy, infrastructure & investment.",,,
42,43,"We express our profound gratitude to H.H. President Sheikh 
@MohamedBinZayed
 for his decision to roll over $2 billion & provide additional $1 billion. This support will help us tide over economic difficulties. We are deeply touched by kind gesture of our Emirati brothers & sisters",,,
43,44,"Polio is a deadly virus that disables children, stunts their future & undermines national progress. Unfortunate that polio still exists in our country. On #WorldPolioDay today, I reiterate my government's unflinching resolve to get rid of this virus through renewed efforts.",,,
44,45,"Just reached Doha  on the invitation of my brother HH Sheikh Tamim Bin Hamad Al-Thani, the Amir of Qatar to attend the 5th UN Conference on Least Developed Countries (LDCs). I will share Pakistan's perspective on the socio-economic challenges facing LDCs in Asia & Africa. 1/2",,,
45,46,"Foreign investment is critical to our efforts to stabilize the economy. In my meeting with leading Turkish investors today, I invited them to invest in the energy & infrastructure sectors. My government will be there to facilitate them proactively.",,,
46,47,"A recently released audio tape exposes Imran Khan's true nature and double standards. Contrary to their claims, they sought NRO to save themselves and their government. After all efforts failed, a fake story of a foreign conspiracy was spun. Their lies have been exposed.",,,
47,48,"Our citizens will be able to notarize their important legal documents such as marriage certificate, degrees and more via MOFA designated officials in Pakistan which will be internationally accepted without the need for any further verification.",,,
48,49,Deeply saddened by the martyrdom of three soldiers of Pakistan Army & three children in a suicide attack in Miran Shah. Blood of our soldiers & citizens is a debt on us that we will repay by eradicating terrorism from our country. Heartfelt condolences to the bereaved families.,,,
49,50,"On behalf of the entire Pakistani nation, I congratulate President Xi Jinping on his reelection as CPC General Secretary for the 3rd term. It is a glowing tribute to his sagacious stewardship and unwavering devotion for serving the people of China.  ",,,
50,51,"Revised UN appeal for $816 million for flood victims underscores need for continued global engagement. With food & health crisis becoming graver,we need to ramp up action. Thank you 
@antonioguterres
 for your leadership in articulating needs of people affected by disastrous floods",,,
51,52,"It was a pleasure to meet and nominate Faisal Baloch for the conferment of Tamgha-e-Shujaat for his act of bravery. A real-life hero, he risked his own life to save that of countless others. I commend his selfless act of courage.",,,
52,53,"In an interactive session with students of Harvard Business School today, my core argument was that the state of economy is directly linked to political stability. My economic action plan has 3 prongs: revitalization of agriculture, promotion of IT & making economy export-driven.",,,
53,54,"Pakistan will not only uproot terrorism, but will kill the terrorists by bringing them to justice. In the last two decades, this nation fought terrorism with its own blood, this great nation is determined to end this evil forever even in this time of trial. 2/2",,,
54,55,"Federal cabinet today discussed in detail the multifaceted challenges posed by climate change. The stakes for affirmative action could not be higher for us, as Pakistan is among the top 10 countries exposed to climate change. The challenges are massive & require urgent attention.",,,
55,56,"Over the years, Turkiye's impressive economic strides under President Erdogan are acknowledged by the world. Pakistan seeks to deepen its multifaceted ties by further exploring the vast untapped potential in trade, commerce & industry.  ",,,
56,57,"The youth of Pakistan today need to take guidance from Iqbal's thoughts and edicts. That is why we will make every day of the month of November a means of promoting Iqbal's thought. A national committee consisting of well-known personalities is performing this duty. What should be the behavior of a young man, we have to learn from Hazrat Iqbal.",,,
57,58,"On behalf of the government & people of Pakistan  , I extend our best wishes to His Highness Sheikh Tamim Bin Hamad Al-Thani, the Emir & brotherly people of Qatar  for hosting the football World Cup. The world will experience the best of Qatar's history, culture & hospitality",,,
58,59,"Pakistan's future lies in human capital formation with a focus on education, health & justice. Anything deviating from this path is anti-people.All reforms, no matter the time they take & pain they carry, should converge on this single point.This is where politics should compete.",,,
59,60,No words are enough to adequately condemn the abhorrable act of desecration of the Holy Quran by a right-wing extremist in Sweden. The garb of the freedom of expression cannot be used to hurt the religious emotions of 1.5 billion Muslims across the world. This is unacceptable.,,,
60,61,Sharing with you some of the key highlights of my speech delivered at the pre-budget business conference:,,,
61,62,"As part of efforts to ease difficulties of people of Gwadar, federal government has decided to provide solar panels for domestic consumers. I have also directed for the completion of work on transmission lines in South Balochistan by Dec & a plan for comprehensive off-grid system",,,
62,63,Humanity faces grave challenge of climate change. Observance of Earth Day is a clarion call for coordinated global response to protect our planet's natural ecosystem. Window for such global action is fast closing. We must move swiftly towards green & sustainable development model,,,
