,Tweets
0,ہمارےمکمل طور پر نہتے،جانثار اور پرجوش کارکن علی بلال کو پنجاب پولیس نےشہیدکردیا۔انتخابی ریلی میں شرکت کیلئےآنے والےنہتےکارکنان کیساتھ ایسا وحشیانہ سلوک نہایت شرمناک ہے۔پاکستان اس وقت خون کے پیاسےمجرموں کےچنگل میں ہے۔ہم IG، CCPO اور دیگر کیخلاف قتل کے مقدمات درج کروائیں گے۔
1,Today would have been Arshad Sharif's 50th birthday. We will always remember his supreme sacrifice for Pakistan. It is imperative that those responsible for his assassination must be brought to justice & punished.
2,"After what happened to Arshad Sharif despite his writing to the President about the life threats he was facing, I would urge the CJP to take notice of this before it is too late."
3,& bring about substantive structural reforms to get Pakistan out of the crisis the Imported govt & its backers have plunged the country into.
4,جیساکہ میں نے6ماہ قبل ہی پیش گوئی کردی تھی کہ تبدیلئ سرکارکی سازش قرض کی واپسی کی ہماری صلاحیت نیست و نابودکرتےہوئےہماری معیشت کوتباہی کےگھڑےمیں اتار دےگی۔پاکستان پر کم وبیش 3 دہائیوں تک راج کرنے والےدومجرم خاندان معیشت کی تعمیرمیں کبھی سنجیدہ تھےنہ ہی ان میں اسکی صلاحیت تھی
5,چونکہ پاکستان سیلاب کی تباہ کاریوں کی زد میں ہے چنانچہ ہمارےلوگوں کو عالمی ماحولیاتی تغیرات کہ جنکےنتیجےمیں خشک سالی سراٹھاتی ہےتوکبھی سیلاب آتےہیں،کےتباہ کن اثرات کو سمجھنا ہوگا۔ لازم ہے کہ ہم جنگلات، ذخائرِآب، بیراجز اور گندے پانی کی صفائی کےمنصوبوں کے ذریعے اپنے ماحول میں
6,سماج کی اخلاقی بنیادوں پربھی سنگین حملہ ہے۔عدالتِ عظمیٰ نےکارروائی کی ہوتی اور ان لوٹوں کو تاحیات نااہل کیا ہوتا تو اس سلسلےکی روک تھام کاکچھ بندوبست ممکن ہوتا۔کیا تبدیلئ سرکار کی امریکی سازش سے آنے والی امپورٹڈحکومت کے سرپرستوں کو قوم کےاس سنگین نقصان کاکچھ بھی احساس نہیں؟
7,جو نتائج آرہے ہیں ان کی روشنی میں تحریک انصاف کم از کم 15 نشستیں جیت رہی ہے۔ مگر تمام پولنگ سٹیشنز پر ذمہ داریوں پر مامور ہمارے سب لوگوں کیلئے نہایت اہم ہے کہ ریٹرننگ افسران سے سرکاری نتائج کے حصول تک اپنی جگہ بالکل نہ چھوڑیں۔
8,"Strongly condemn arrest of Siddique Jan Bol news Bureau Chief Islamabad Anyone thought to be pro PTI is now brazenly targeted. Imran Riaz,Jamil Faruqi, Sabir Shakir,Sami Ibrahim,Ch Ghulam Hussain,Moeed Pirzada - all victimised. Arshad Sharif murdered. BOL & ARY owners targeted."
9,"اسکے ساتھ وہ تین بیراجز جو راوی اربن ڈیویلپمنٹ اتھارٹی کا حصہ ہیں، پانی بچائیں گے اور زیرِ زمین پانی کے تیزی سے کم ہوتےذخائر کو پھر سے بھریں گے۔ 
 #floods #water #rivers"
10,"استعمال کرنے کی کوشش کررہا ہے۔ ہم بہادر فلسطینیوں کے ساتھ کھڑے ہیں اور عالمی قوتوں سے مطالبہ کرتےہیں کہ اپنا سکوت توڑیں اور اہلِ فلسطین کیخلاف اسرائیلی سفاکیت و بربریت کیخلاف اقدام کریں۔ امن صرف دو ریاستی حل جیسے ایک قابلِ عمل منصوبے ہی سے ممکن ہے۔ 
 #GazaUnderAttack"
11,ہمیں کوریجز سےمحروم کرنےکیلئےیہ میڈیاہاؤسز پر دباؤ ڈالتےہیں اور اگرپھربھی کوئی چینل ہمیں کوریج دیتا ہے تو اس پر حملہ کردیا جاتاہے۔مگر اس سب سےکچھ فرق نہیں پڑتاکیونکہ لاہور اپنافیصلہ سنا چکاہےکہ جہاں سارا دن لوگ بڑی تعدادمیں نکلتے+تقریباً7گھنٹوں تک ہماری ریلی میں پیدل چلتےرہے
12,"Facing a tyrant's army that far outnumbered them, Imam Hussain AS with his family & companions laid down their lives at Karbala standing resolute for Haq (truth/right) against Baatil (falsehood)."
13,"All those who support democracy & the right to freedom of expression as enshrined in our Constitution must come out & protest against arrest of 
@ImranRiazKhan
 & ongoing violence & targeting of journalists incl 
@ayazamir
 & many others just to instil fear & silence critical voices."
14,ایک آزاد و خودمختار پاکستان کے حصول اور امپورٹڈ سرکار کو مسترد کرنے کے حوالے سے عوام میں پایا جانے والا جذبہ نہایت واضح ہے۔
15,این اے 245 کراچی کے انتخاب میں ہم جیت کی جانب گامزن ہیں۔ ہمارے کیمپس ووٹرز سے بھرے ہوئے ہیں جبکہ مخالفین کے خیمے خالی ہیں۔ میری اپنے تمام ووٹرز کو ہدایت ہے کہ اگر آپ نے ابھی تک اپنے ووٹ کا حق استعمال نہیں کیا تو فوراً جائیں اور ووٹ ڈالیں۔
16,"میں اپنےاوورسیز ڈونرز کامشکورہوں جنہوں نے جب ہم سیلاب زدگان کیلئے(عطیات بھجوانےکیلئے)اکاؤنٹ بنارہے تھے،صبرسےانتظارکیا۔تفصیلات یوں ہیں؛
عنوان: Insaf Relief Foundation 
نمبر. 7004109
Southwestern National Bank; 2951 West Ball Road,Suite 100
Anaheim,CA 92804
tel:714-822-6101"
17,We saw a foreign abetted regime change conspiracy taking place sending Pak into chaos. But senior Judiciary continues to remain aloof. When will the Judiciary move to act against State institutions that are defying all laws & violating the Constitution? It is high time they did.
18,The sheer magnitude of the flooding that I saw in Tank & DIKhan shows the challenge Pakistan is confronted with as this is the situation in many other areas across the country.
19,"بڑھتی ہوئی مہنگائی اور بیروزگاری کےدوران امپورٹڈسرکار نے اسلام آبادکےI-10 سیکٹر میں ہماری حکومت کیجانب سے
”احساس ریڑھی بان“پروگرام کےتحت فراہم کی گئی ریڑھیاں/سٹالز تباہ کرکےنہایت بےحسی کامظاہرہ کیاہے۔کمزوروں اور غریبوں کو جان بوجھ کر نشانہ بنانا غیرانسانی اور قابلِ مذمت عمل ہے"
20,Condemnable arrest of Lt Gen retd Amjad Shoaib shows democracy & freedom being totally destroyed in Pak to save regime change conspiracy's fascist order of cabal of crooks propped by handlers. It is time for every Pakistani to stand up for Haqeeqi Azadi & save Pak from the abyss.
21,اسی دوران پنجاب پولیس نے زمان پارک میں میری رہائشگاہ پر دھاوا بول دیا ہےجہاں بشریٰ بیگم اکیلی ہیں۔ کس قانون کے تحت یہ لوگ یہ سب کر رہے ہیں؟ یہ لندن پلان کا حصہ ہے جس کے تحت ایک تقرری پر رضامندی کے عوض مفرور نواز شریف کو اقتدار میں لانے کے وعدے کئے گئے۔
22,of voluntary return a person cannot hold any public office at federal or prov level nor in any state org. ECP has helped reduce Pak to a Banana Republic making our democracy a joke. I will be holding a presser tomorrow to expose this entire farce.
23,Saddened to learn of the passing of Jaffar Leghari. He was a friend for the last four decades. Sadly he lost his battle with cancer despite putting up a great fight. My condolences & prayers go to his family. May Allah give them the strength and patience to bear this loss.
24,تمام تر مشکلات کے باوجود بلدیاتی انتخابات میں تحریک انصاف کی کامیابی پر پاکستان تحریک انصاف آزاد جموں و کشمیر اور سردار تنویر الیاس کو مبارکباد پیش کرتا ہوں۔
25,ناانصافی پر انکےقابلِ جواز غصے اور مایوسی کو ہوا اس وقت ملی جب سینیٹرز کیجانب سےگزشتہ دو ہفتوں سے اپنی حمایت میں کی جانےوالی استدعاؤں کے باوجود سپریم کورٹ کے دروازے ان پر بند رہے۔چنانچہ انہوں نے ٹویٹ کیا اور پھر سے دَھر لئے گئے۔ریاست کی اس فسطائیت کیخلاف ہر فرد آواز بلند کرے!
26,ان سب کیلئےجو لاہور میں میری ملاقات کی افواہیں پھیلا رہےہیں،ہماری واپسی کی وجہ یہ تھی کہ لاہورقریب تھا+ ہم پہلےہی رات کوسفر نہ کرنےکافیصلہ کرچکےتھے۔پچھلے6 ماہ سےمیرا واحدمطالبہ صاف شفاف انتخابات کےفوری انعقاد کی تاریخ رہی ہے۔اگر مذاکرات ہوئےبھی تو میرا واحدمطالبہ یہی رہے گا
27,"After Pemra blocked live transmission of my Pindi jalsa speech on TV channels, Imported govt blocked YouTube midway through my speech. This just shows the desperation of those who for their self interest are willing to push Pakistan towards political and economic chaos."
28,Our billion tree tsunami prog for environment protection & to counter impact of climate change esp for our future generations already having an impact on our environment & wildlife. 2500 acre barren land of Changa Manga forest before 2020 - turned green after 10BTT plantations.
29,زلزلے کی تباہ کاریوں میں قیمتی جانوں کے ضیاع پر ہم ترکیہ، شام اور لبنان کے اپنے بھائیوں سے دلی ہمدردی اور تعزیت کا اظہار کرتے ہیں۔ ہم اپنے ان بھائیوں کیلئے درکار ہرقسم کی مدد و معاونت کیلئے تیار ہیں۔
30,کی ذمہ دارہےاور کون یہ آڈیوز جاری کررہاہے جن میں سےبہت سیedited/doctored ہیں۔یہ تحقیق  نہایت اہم ہےکیونکہ قومی سلامتی سےجڑےحساس موضوعات(پرگفتگو وغیرہ) کوغیرقانونی طور پر ریکارڈ،پھر ہیک کیاگیا۔نتیجتاًپاکستان کی قومی سلامتی کےحوالے سےمعلومات پوری دنیاکےسامنےآشکار ہوکر رہ گئیں
31,کیلئےعطیات جمع کرنےکی راہ میں روڑے اٹکانے کی کوشش کی۔ یہ بےحسّی ناقابلِ تصوّر ہے! اس سب کے باوجود ہم محض 2 گھنٹوں میں 5.2 ارب روپے جمع کرنےمیں کامیاب رہے۔میں دیارِغیرخصوصاًامریکہ میں مقیم پاکستانیوں سمیت عطیہ کرنے والے ہر ایک فرد کا مشکور ہوں۔
32,اسلام آباد میں فسطائیت اپنے عروج پر ہے جہاں پولیس ہمارےکارکنوں کو پکڑنےکیلئےبغیر وارنٹس گھروں پر چھاپےمار رہی ہے۔جہاں کارکن گھروں میں موجود نہیں وہاں10برس تک کےکم سِن بچوں کو اٹھایاجارہاہے۔ہمارےوہ تمام کارکن اور ان کےبچے فوراً رہا کئے جائیں جنہیں اغواء کیا جاچکاہے!
33,"This in turn protects them from elite capture of the State & govt. Unfortunately in Pakistan bec Rule of Law was never allowed to be established, elite capture of the country has allowed powerful institutions & mafias to remain above the law as if it was their right."
