,Unnamed: 0,Tweets
0,0,"Our completely unarmed, brave and passionate worker Ali Bilal was martyred by Punjab Police. Such brutal treatment of unarmed workers who came to participate in election rally is very shameful. Pakistan is currently in the clutches of bloodthirsty criminals. We have murder cases against IG, CCPO and others. Will enter."
1,1,Today would have been Arshad Sharif's 50th birthday. We will always remember his supreme sacrifice for Pakistan. It is imperative that those responsible for his assassination must be brought to justice & punished.
2,2,"After what happened to Arshad Sharif despite his writing to the President about the life threats he was facing, I would urge the CJP to take notice of this before it is too late."
3,3,& bring about substantive structural reforms to get Pakistan out of the crisis the Imported govt & its backers have plunged the country into.
4,4,"As I predicted 6 months ago, the conspiracy of the government to change will destroy our ability to pay back the debt and throw our economy into the pit of destruction. was"
5,5,"Since Pakistan is under the ravages of floods, our people have to understand the devastating effects of global climate change that results in droughts and floods. It is imperative that we protect our environment through forests, reservoirs, dams and sewage treatment projects."
6,6,"It is also a serious attack on the moral foundations of the society. If the Supreme Court had taken action and disqualified these looters for life, then some arrangement would have been possible to prevent this series. Is the change of the government to the guardians of the imported government coming from the American conspiracy of this serious loss of the nation? Not even realized?"
7,7,"In the light of the results coming, Tehreek-e-Insaf is winning at least 15 seats. But it is very important for all our people on duty at all the polling stations not to leave their place at all until the official results are obtained from the returning officers."
8,8,"Strongly condemn arrest of Siddique Jan Bol news Bureau Chief Islamabad Anyone thought to be pro PTI is now brazenly targeted. Imran Riaz,Jamil Faruqi, Sabir Shakir,Sami Ibrahim,Ch Ghulam Hussain,Moeed Pirzada - all victimised. Arshad Sharif murdered. BOL & ARY owners targeted."
9,9,"Along with this, the three barrages, which are part of the Ravi Urban Development Authority, will conserve water and replenish the rapidly depleting underground water reserves.
 #floods #water #rivers"
10,10,"Trying to use We stand with the brave Palestinians and call on the world powers to break their silence and take action against Israeli brutality and brutality against the Palestinian people. Peace is possible only with a workable plan like the two-state solution.
 #GazaUnderAttack"
11,11,"They put pressure on the media houses to deprive us of coverage and if any channel still gives us coverage, it is attacked. But it doesn't matter because Lahore has given its decision that where people come out in large numbers all day + they are walking in our rally for about 7 hours."
12,12,"Facing a tyrant's army that far outnumbered them, Imam Hussain AS with his family & companions laid down their lives at Karbala standing resolute for Haq (truth/right) against Baatil (falsehood)."
13,13,"All those who support democracy & the right to freedom of expression as enshrined in our Constitution must come out & protest against arrest of 
@ImranRiazKhan
 & ongoing violence & targeting of journalists incl 
@ayazamir
 & many others just to instil fear & silence critical voices."
14,14,The sentiment of the people towards achieving a free and independent Pakistan and rejecting the imported government is very clear.
15,15,"We are heading towards victory in NA-245 Karachi elections. Our campuses are full of voters while the opposition tents are empty. My advice to all my voters is that if you have not yet exercised your right to vote, go and vote immediately."
16,16,"I am grateful to our overseas donors who waited patiently while we were creating an account (to send donations) for the flood victims. The details are as follows;
Title: Insaf Relief Foundation
no. 7004109
Southwestern National Bank; 2951 West Ball Road, Suite 100
Anaheim, CA 92804
Tel: 714-822-6101"
17,17,We saw a foreign abetted regime change conspiracy taking place sending Pak into chaos. But senior Judiciary continues to remain aloof. When will the Judiciary move to act against State institutions that are defying all laws & violating the Constitution? It is high time they did.
18,18,The sheer magnitude of the flooding that I saw in Tank & DIKhan shows the challenge Pakistan is confronted with as this is the situation in many other areas across the country.
19,19,"During the period of rising inflation and unemployment, the import government in I-10 sector of Islamabad on behalf of our government.
It has shown utter callousness by destroying the carriages/stalls provided under the ""Ehsaas Rahiban"" programme. Deliberately targeting the weak and the poor is inhumane and condemnable."
20,20,Condemnable arrest of Lt Gen retd Amjad Shoaib shows democracy & freedom being totally destroyed in Pak to save regime change conspiracy's fascist order of cabal of crooks propped by handlers. It is time for every Pakistani to stand up for Haqeeqi Azadi & save Pak from the abyss.
21,21,"Meanwhile, Punjab Police has raided my residence in Zaman Park where Bushra Begum is alone. Under which law are these people doing all this? This is part of the London Plan under which promises were made to bring fugitive Nawaz Sharif to power in return for agreeing to an appointment."
22,22,of voluntary return a person cannot hold any public office at federal or prov level nor in any state org. ECP has helped reduce Pak to a Banana Republic making our democracy a joke. I will be holding a presser tomorrow to expose this entire farce.
23,23,Saddened to learn of the passing of Jaffar Leghari. He was a friend for the last four decades. Sadly he lost his battle with cancer despite putting up a great fight. My condolences & prayers go to his family. May Allah give them the strength and patience to bear this loss.
24,24,I congratulate Pakistan Tehreek-e-Insaf Azad Jammu and Kashmir and Sardar Tanveer Ilyas for the success of Tehreek-e-Insaf in the local body elections despite all the difficulties.
25,25,His justifiable anger and frustration at the injustice was met when the doors of the Supreme Court were closed to him despite pleas from senators in his support for the past two weeks. Everyone should raise their voice against this fascism!
26,26,"For all those who are spreading rumors of my meeting in Lahore, the reason for our return was that Lahore was close + we had already decided not to travel at night. My only demand for the last 6 months has been the date for the immediate holding of fair and transparent elections. This will be it"
27,27,"After Pemra blocked live transmission of my Pindi jalsa speech on TV channels, Imported govt blocked YouTube midway through my speech. This just shows the desperation of those who for their self interest are willing to push Pakistan towards political and economic chaos."
28,28,Our billion tree tsunami prog for environment protection & to counter impact of climate change esp for our future generations already having an impact on our environment & wildlife. 2500 acre barren land of Changa Manga forest before 2020 - turned green after 10BTT plantations.
29,29,"We express our heartfelt sympathy and condolences to our brothers in Turkey, Syria and Lebanon for the loss of precious lives in the devastation of the earthquake. We are ready to provide all kinds of help and support to these brothers of ours."
30,30,"Who is responsible and who is releasing these audios, many of which are edited/doctored. This research is very important because sensitive topics related to national security (conversations, etc.) were illegally recorded, then hacked. As a result, information about Pakistan's national security was exposed to the whole world."
31,31,"Tried to put obstacles in the way of collecting donations. This indifference is unimaginable! Despite all this, we managed to collect 5.2 billion rupees in just 2 hours. I am grateful to everyone who donated, including Pakistanis living in the US."
