,Tweets
0,
1,تحریک انصاف کے رہنما علی امین گنڈاپور کی پی ڈی ایم حکومت کو جتھوں کے زریعے اسلام آباد پر قبضہ کرنے کی دھمکی۔ ماضی میں انکے پاس سے شہد برآمد ہوا تھا ۔۔ دیکھنا ہوگا کہ کہیں اس بار بھی ان سے مزید شہد کی بوتلیں برآمد نہ ہو جائیں۔
2,"This is sad  

لوگوں کی محبت اور عزت نفرت میں کیوں بدل گئی؟

@OfficialDGISPR"
3,اگر عمران خان کے جان کو بدستور خطرہ ہے۔ عوام تمام تر ذمہ داری اسٹیبلشمنٹ پر عائد ہوگی
4,میں پھل لینے گیا تو ایک بچہ جس کے پاس 100 روپے تھے اس نے کہا مجھے کیلے اور سیب دیں، دکاندار نے کہا کہ تین سیب 100 کے بنیں گے، بچے کے چہرے پر مایوسی دیکھ کر دکاندار نے اسے چھ کیلے اور تین سیب دے دئیے، اس کے جانے کے بعد بتایا رضی بھائی یہ چھ کیلے اور تین سیب 300 کے ہیں۔ 
5,"نیشنل پریس کلب کے سبزہ زار میں صدیق جان کے ساتھ اظہار یکجہتی کیلئے غیر رسمی نشست، عمران ریاض خان 
@ImranRiazKhan
 شاہد اسلم 
@ShahidAslam87
  اور صدر نیشنل پریس کلب انور رضا 
@MAnwarRaza
 اور مخدوم شہاب 
@ShahabSpeaks
 انس گوندل 
@AnasGondal19
  اور راقم نے اظہار خیال کیا۔"
6,صدیق جان کو تاحال عدالت میں پیش نہیں کیا گیا، میاں علی اشفاق صدیق جان کے کیس کی نمائندگی کریں گے
7,"یہ دنیا کے بہترین 500 فزیشن ہیں جو عمران خان کی سیکیورٹی کیلئے فکرمند ہیں 

یہ غدار نہیں،یہ پاکستان کا درد رکھنے والے انتہائ پڑھے لکھے اور قابل لوگ ہیں"
8,سپریم کورٹ کے دو ججز کے مینیج ہونے کا دعوی کوئی معمولی نہیں بلکہ انتہائی سنجیدہ بات ہے ۔۔ پہلے ہی ہمارے نظام عدل اور انصاف کے دہرے میعار پر کھل کر اظہار ہو رہا ہے ۔
9,پولیس کے  بیگ زمان پارک  لے کر جاتی ویڈیوز تو سب نے دیکھ لیں .. اب مریم کے ٹویٹر  سے سستی ٹویٹس میں جھوٹا  بیانیہ بھی دیکھ لیں ... کھل کر جھوٹ
10,ایک سیاستدان ہار مانتے ہوئے
11,بے غیرت ترین جیو نیوز خبر فائرنگ کی دے رہا ہے مگر اب تک اندر کھانے کی دیگیں اور میڈیکل کیمپس ہی دکھا سکا ہے ۔
12,"If brotherhood, loyalty, love & sincerity had a face. If one's blessed with such friends, life's pretty much summed up. I just love the way 
@MianAliAshfaq
 & 
@ImranRiazKhan
 bhai greeted 
@SdqJaan
 bhai so wholesome & heart touching May Allahﷻ honor & protect them all! الحمدللہ"
13,ایس ایچ او اشفاق، نجانے کس تھانے سے ہے، چھوٹا قد ہے، جب عمران خان کا قافلہ واپس چلا گیا، تو ایف سی کے جوانوں کے ہمراہ کہیں سے نمودار ہوا، جی 12/4 سیکٹر جو جوڈیشل کمپلیکس کے بلکل عقب میں ہے، وہاں گلیوں میں جا کر ہوٹلوں دکانوں پر بیٹھے لوگوں کو ایف سی ڈنڈے مروا رہا ہے، مارو انکو یہ… Show more
14,"اسد عمر اور پی ٹی آئی کو بدنام کرنیوالا نصیر جنجوعہ ن لیگ کا حمایتی نکلا۔۔ پی ٹی آئی رہنما نے نصیرجنجوعہ کی دسمبر 2022 کی ویڈیو شئیر کردی جس میں وہ ن لیگ کی بلدیاتی الیکشن میں مہم چلاتا اور لیگی امیدوار کی حمایت کرتا نظرآرہا ہے

#ImranKhan #ShehbazSharif

https://bit.ly/3LETw8m"
15,گرفتاری کے شوق نے حکومتی رٹ برباد کر دی۔ امید ہے اب جوش کی جگہ ہوش سے کام لیا جائے گا!!!
16,Hunnnh… is that so? twitter.com/MashwaniAzhar/…
17,یہ وہی نامعلوم پولیس والا ہے جو تشدد کر رہا تھا جس کا وردی پر نام تک نہیں، اور اس کی پینٹ اتر رہی ہے مطلب نامعلوم لوگوں کو پولیس کی وردیاں پہنا کر بھیجا گیا ہے جو ان کے سائز کی بھی نہیں۔۔۔
18,بول نیوز اسلام آباد کے بیورو چیف صدیق جان کی بلا جواز گرفتاری خلاف قانون و آئین ہےجس کی شدید مذمت کرتے ہیں، ایسی فضاء بنتی جا رہی ہےجیسے کہ ملک میں جنگل کا قانون نافذ ہو،اظہار رائے کو دبانا بنیادی انسانی حقوق کی خلاف ورزی ہے، یہ مجرمانہ اور مکروہ انتقامی اقدامات گزشتہ 1/2
19,"یہ اعدادوشمار شہباز شریف کے دور حکومت میں تصدیق شدہ جاری ہوئے۔ 
38+36+36= 110"
20,پولیس افسر بھی وہی ہے جن کے ضلع میں عمران خان پر قاتلانہ حملہ ہوا تھا، ملزم کی ویڈیو بناکر وائرل کرنے کی کوشش کی اور جے ائی ٹی کے سامنے پیش ہونے سے انکار کیا۔
21,الیکشن کمیشن نے اپنے فیصلے سے ملک کو بڑے آئینی بحران سے بچایا: مریم اورنگزیب https://urdu.geo.tv/latest/322212-
22,حسان نیازی بلوچستان گیا بھی نہیں اور وہاں پر چند روز قبل ہونے والے ایک احتجاج کے مقدمے میں بلوچستان پولیس کے حوالے کر دیا گیا۔
23,ڈکٹیشن نہ لینے والے صحافیوں پر جو ظلم اس رجیم چینج کے بعد ہوا اسکی تاریخ میں مثال کم ملتی ہے۔ کم سے کم جمہوری دور میں کبھی ایسا نہیں ہوا۔
24,صدیق جان کے بعد عمران ریاض کو ایف آئی اے نے طلب کرلیا،، ذرائع کے مطابق ایف آئی اے کو ہدایت کی گئی ہے کہ ایسے سوشل میڈیا انفلوئنسر جو تحریک انصاف کو سپورٹ یا انکے حق میان بات کرتے ہیں انکو طلب کر کہ بیان حلفی لیں ڈرائیں اور چھوڑ دیں۔
25,"پولیس کا کہنا ہے کہ صدیق جان نے ہم سے شیلز چھین لیے۔ 
صدیق جان یہ جرم قبول بھی کر لے تو کوئی نہیں مانے گا۔ خدا کے بندو جھوٹ تو ڈھنگ کا بولو۔۔۔"
26,"بھائی وہ اعلان کرکے آئے تو کارکنوں کے آنے پر غصہ
وہ بغیر اعلان کے آئے تو کارکنوں کے نہ آنے پر غصہ
مسئلہ صرف اتنا ہے عوام 13 جماعتوں اور انکے تمام سہولتکاروں سے بیزار دکھائی دیتی ہے اور الیکشن میں کوئی جانا نہیں چاہتا اب عمران خان کو پہلوں کی طرح ٹیکنیکل ناک آؤٹ کرنے کی کوشش ہے۔"
27,باجوہ کے الزام پر شیخ رشید کا رد عمل
28,سیاسی جماعتیں اپنی سیاست کرتی رہیں گی۔ بیانیے بناتی رہیں گی۔ لیکن حیران ہوتا ہوں ان دانشوروں کی فکری بد دیانتی پر جو عمران خان کے گھر کے اندر پولیس کے داخلے پر خوشی کے شادیانے بجاتے رہے۔ اللہ نہ کرے کل کسی اور سیاسی لیڈر کے گھر کا گیٹ توڑا جائے۔ چادر چار دیواری کی پامالی ہو۔
29,چند لمحات میں اب پہلے سے پکڑے گئے کالعدم جماعت کے پہلے سے پکڑے گئے افراد کو میڈیا کے سامنے پیش کیا جائے گا کہ یہ لوگ عمران خان کی زمان پارک رہائشگاہ سے پکڑے گئے۔۔
30,آزادی اظہار آئین جمہوریت کے تحفظ کا یہ سفر جاری رہے گا پاکستانیوں کی خاطر اور پاکستان کے بہتر مستقبل لی خاطر ان شااللہ
31,زمان پارک لاہور کے سامنے نہر میں ریاست آدھی ڈوبی پڑی ہے ریاست کو نہر میں کس نے پھینکا؟ پولیس کی گاڑی پر حملہ کرنے والوں کے خلاف کارروائی تو ہو گی لیکن اُن صاحبان کے خلاف کارروائی کون کرے گا جنہوں نے 2018 کے الیکشن میں دھاندلی سے انہیں اقتدار دیا جنہوں نے ریاست کو نہر میں پھینکا؟
32,الیکشن کمیشن کا الیکشن ملتوی کرنے کا فیصلہ پاکستان کے وجود کے لیے خطرناک ہے،لطیف کھوسہ
33,"Aftab Sahb thank you,i am touched. Prayers. 
@AyeshaNIqbal
 
@ali_hasnainshah"
34,"پریس ٹی وی کے پاکستان میں ایڈیٹر سینئر صحافی گل جی جامس لکھتے ہیں

جیو نیوز محارب ہے

جیو نیوز نے 2007 میں لال مسجد کے خلاف پروپیگنڈا کیا اور مشرف کو ملٹری آپریشن پر اکسایا۔ جب آپریشن ہوگیا اور وہاں خون کی ہولی کھیلی گئی تو پھر عوام کو مشرف اور فوج کے خلاف بھڑکایا۔

اب جیو نیوز… Show more"
35,جنرل ر باجوہ کے انٹرویو کا سادہ مطلب یہ ہے کہ انکے علاوہ پاکستان کے سارے لوگ جھوٹے اور نکمے ہیں۔ اور وہ خود ایک پاکیزہ شخصیت ہیں۔
36,ایس پی CIA کہہ رہے اللہ کی قسم میرا اس آپریشن سے تعلق نہیں میں بسکٹ کھانے آیا تھا ہم چور ڈاکو پکڑتے ہیں ایسے آپریشن سے ہمارا تعلق نہیں
37,کوئی یہ نہ سمجھے کہ ضمیر کی آواز ہے۔ اسوقت حالات کے تناظر میں دوسرا بندہ درکار ہے۔
38,PTI's disgusting smear campaign against Chief of the Army Staff General Asim Munir at the behest of Imran Niazi is deserving of the strongest condemnation. 1/2
39,جزاک اللہ
40,"When Imran Khan was about to enter Islamabad Judicial Complex, ""Unidentified men"" in plain clothes, were seen there with ""White Asphyxial Cords"" that are used for quick strangulation! Why Police will allow their presence? Was it a ""Murder Plot""? Who will investigate? 
@hrw"
41,"شایان کی ماں کو گالی دی اس بچے نے انکے پورے خاندان کا جینا حرام کر دیا۔
دوسری طرف بلاول کی ماں کی ننگی تصویریں پھینکیں اور وہ انہی کا وزیر بن بیٹھا۔ 
خود سوچیئے کون غیرت مند؟"
42,پولیس جسے شراب کی بوتلیں اور مخالفین پٹرول بم کہتے رہے، پولیس کے شیرجوان اسے پیتے رہے
43,یہ جو پختونوں کو دہشت گرد قرار دیتے ہوئے تصاویر کچھ صحافیوں اور کچھ ن لیگی ایکٹیوسٹس کی طرف سے جاری کی گئیں ان میں سے کم از کم دو پر مع ثبوت تردید آ گئی ۔ پوچھنا یہ تھا کہ کہیں شرم یا موت بھی آئی
44,#دہشتگرد_عمران_خان بزدل دہشت گردوں والا کام کر رہا ہے۔ جیسے دہشت گرد پولیس پر حملے کرتے، بچوں، عورتوں کو ڈھال بناتے ہیں، ان کے خون پر  بلیک میلنگ کرتے ہیں، فارن ایجنٹ آئین، قانون اور عدالت سے دہشت گردوں کی طرح بھاگ رہا ہے.دہشت گرد ریاست پہ حملہ آور ہے
45,وائرل انٹرویو میں خاتون نے کہا کہ مجھے تو زمان پارک آئےلوگ طالبان سے لگتے تھے جو پشتو سپیکنگ تھےیہ کہہ کر اس عورت نےلسانیت کوہوادی ہے۔یہ جہالت کی ٹوکریNCAلاہورمیں انٹیرئیرڈیزائن کے ماسٹرزپروگرام کوپڑھاتی ہےنام ماہ رخ بٹ:کالج اسکوفورانکالےیہ پشتون طلباوطالبات کیلئےخطرہ ہے
46,یہ حکمران بار بار اعلان جنگ کیوں کر رہے ہیں؟؟؟
47,کم از کم ترانے اچھے بناتے تھے وہ بھرم بھی آج ٹوٹ گیاhttps://twitter.com/irumrae/status/1638822560862281730/video/1…
48,"Public VS Mafia
Imran Khan 100 not out 
To be continued"
49,کچھ صحافی جنہوں نے اپنی ساری صحافت پختون قومیت کے بل بوتے پر کی ہے وہ بزدل بے شرم آج پختونوں کو دہشت گرد قرار دیئے جانے پر ایک لفظ بولنے کو تیار نہیں کیونکہ اسکا منصوبہ کہیں بہت اوپر بنایا گیا ہے۔
50,میر صاحب دوسرے زاویے سے دیکھیں تو یہ انا پرستوں کی ضد نہر میں ڈوبی ہوئی ہے۔وہی ضد جس کی تسکین کے لیے خان پر دہشت گردی کے سو پرچے کر دئیے گئے۔غیر موجودگی میں اس کے گھر پر حملہ ہوا۔اور ہاں 2018 کی اصل کہانی میں پی ٹی آئی کو ایک پلان کے تحت سادہ اکثریت سے محروم کیا گیا تھا۔
51,بالآخر مان لیا گیا ہے کہ کچھ نہیں ملا مشترکہ پریس کانفرنس کا نچوڑ
52,مارشل لائ ہی ہے یہ
53,"فرانس ملک تو کافروں کا ہوگا مگر کئی مسلمان ملکوں پر مسلط نام نہاد مسلمان اشرافیہ سے زیادہ غیرت مند ہے۔
فرانس کی پولیس نے مظاہرین کو حق پر مانتے ہوئے ان پر تشدد سے انکار کر دیا بلکہ ان کے ساتھ مظاہرے میں شامل ہوگئے ۔۔
اور مسلمان بحالت روزہ اغوا ہورہے ہیں۔"
54,"صدیق جان ولد جان محمد کو اسلام آباد کیپیٹل پولیس نے تھانہ سی ٹی ڈی کے مقدمہ 03/23 میں گرفتار کیا۔

18 مارچ جوڈیشل کمپلیکس جلاؤ گھیراؤ کے واقعات کے تناظر میں گرفتار کیا گیا۔ صدیق جان کو وقت پر عدالت میں پیش کردیا جائے گا۔
#ICTP"
