,Tweets,label
0,,army
1,"On allegations of being foreign funded by RAW - 
@ManzoorPashteen
 responds - says allegations are form those who took $33 billion. “We challenge that prove that we have taken even one paisa in foreign funding.”
#PTM",army
2,Manzoor Pashteen challenging army officials to have a debate about their policies before media.,army
3,"@ManzoorPashteen
 ",army
4,ایم کیو ایم کے لاپتہ کارکنوں کی لاشیں برآمد: ’لگتا ہے لاشیں پھینکنے والے بھی چاہتے تھے کہ گھر والوں کو فوراً مل جائیں‘,army
5,"پښتونه ترانې جالندهري رانه اوده کړې
دې شين بيرغ دا ستا په وطن سه کانې وا نه کړي؟
زمونږ د کور په لاره کې يو تور سړې ولاړ دې
تپوس کوي زما نه چې ته څوک ېې؟ دلته سه کړې؟

وس خو تپوس هم نه کوي، بس وژل کوي.
@ManzoorPashteen
 
#swat",army
6,"Afghan children/families are among the detained asylum seekers in Sindh. 
@nchrofficial
 confirms this, lawyers 
@samarfactor
 & 
@Moni_Kakar
 have been providing legal counsel to the detainees & took the photo, but 
@SindhCMHouse
 would rather target 
@manzoorpashteen
, a Pashtun HRD. https://twitter.com/SindhCMHouse/status/1608422307441315840…",army
7,"Tomorrow, PTM UK chapter will hold an election in Scotland. 
@KroenerJess
 
#PTMScotlandElection",army
8,"سوات کبل بازار کې به سبا شپاړسم ستمبر 2022 ماسپښین دوې بجې ته د سوات اولس له خوا د امن په حق کې لاریون وی.
مونږ د سوات د خپل محترم اولس نا په دې لاریون کې د ګډون هیله کوو.
ځائ: کبل بازار 
وخت: دوه بجې ماسپښین( د جمعې نمونز پس)

#WeWantPeaceInSwat",army
9,"آج خیبر باڑہ کوہی غونڈی میں عزیز آفریدی(عمر دس سال) لینڈ مائن دھماکے سے معزور۔
آپریشن میں میلٹری نے جو لینڈ مائنز بچائے تھے اس کی وجہ سے آئے روز پشتون بچے معزور ہورہے ہیں۔
ہم نے لینڈ مائن صاف کرنے کا مطالبہ کیا تو جواب ملا کہ ایسے مطالبات ملک کے ساتھ غداری ہے۔
#PashtunLivesMatter",army
10,"#لورالائی_واقعہ_اور_پی_ٹی_ایم_احتجاج 
لورالائی یونیوررسٹی کے قریب کوہاڑ ڈیم پکنک پر گئے ہوئے 4 طلباء پر نامعلوم افراد کا حملہ۔جس میں 3 طالب علم (سید خان، قاہر، محمد یار) زخمی اور ایک طالب علم اسرار خان شہید ہو گیا۔
پشتون بیلٹ میں طلباء پر مسلسل حملوں  کی روک تھام کی جائے۔1/2",army
11,د جنګونو او مُصیبتونو  نه ستړی افغان اولس ته دې د افغان ملی لوبډلې بریا نیکمرغه وی.,army
12,"باجوړ کښې دٙ نا‌امنۍ پر ضد وهل شوی پرلت له اؤمۀ7ورځ هم دوام لري
د پښتون‌ژغورنې‌غورځنګ ملګري پرلت کښې پۀ ګڼ شمير ګډون لري
@ManzoorPashteen
#باجوړ_قامي_امن_پرلت",army
