,Tweets
0,پہلےبزدلوں سےتنقیدبرداشت نہیں ہوتی تو دلیل کامقابلہ لاٹھی، گولی+اغواءسےکرتےہیں۔پھرجب اندھی طاقت استعمال کرتےہیں تو بھی اسکی ذمہ داری قبول کرنےکی بجائےپردوں  کےپیچھےچھپتےہیں۔بےشرموں نےاظہرمشوانی کو اٹھا تو لیاہے مگرتسلیم کرنےسےجان جارہی ہےکہ ہماری تحویل میں ہے۔شرم کرو/رہا کرو اسے!
1,پی ٹی آئی چیئرمین عمران خان کا RT کو انٹرویو
2,خان صاحب کی یہ ویڈیو ماشاء اللہ 
3,"#حقیقی_آذادی_جلسہ !!
چئیرمین عمران خان آج مینار پاکستان لاہور میں عوام سے تاریخی خطاب کریں گے"
4,"#ReleaseShahidHussain - he has been abducted by Pakistani govt and colluding arms of the state. 
URGENT! 
UK citizens, pls fill in the simple form-your full postal address MUST be inserted. Press ‘Send my email’-it will go directly to your local MP.
1/2"
5,"We’ve been outside the Islamabad high court following Imran Khan’s appearance. We went up live twice, he’s supporters were calm and peaceful. Suddenly police decided to charge them with batons and began hitting whoever they could get a hold of. Several were detained."
6,#ZamanPark right now
7,"تمام تر اوچھے ہتھکنڈوں کے باوجود مینار پاکستان میں عوام کی بہت بڑی تعداد میں آمد کا سلسلہ جاری۔ 
 #حقیقی_آزادی_جلسہ"
8,"یہ داستان جبر بھی ہو جائے گی تمام
پر یاد رہیں گے ہمیں سب ظالموں کے نام"
9,"PTI London's President Waqas Saagar writes a letter to the UK's PM Rishi Sunak highlighting the HR breaches currently taking place in Pakistan under the facist mafia rulers. Urges Rishi Sunak to acknowledge the atrocities in Pakistan and take action. 
#PakistanUnderFasicsm"
10,"اس جذبے کو کیسے قید کرو گے؟ اس آزادی کے متوالے پر دہشت گردی کا مقدمہ کریں گے کیا؟ یہ جذبہ اس عمر میں کسی ابھرتی قوم کی نشانی ہے۔ میرا پاکستان!
#حقیقی_آزادی_جلسہ"
11,"It has been almost 18 hours since 
@MashwaniAzhar
 was abducted, still nobody is accepting the responsibility of Azhar's arrest, no information about where he is.

 #ReleaseAzharMashwani"
12,Imran Khan took “Har Maidan Fateh” song too seriously. I mean totally winning in Life!
13,"عمران خان انسداد دہشتگردی عدالت پہنچ گیے
#حقیقی_آزادی_جلسہ"
14,Sicilian mafia's Pineapple Maryam has started campaign to malign SC judges & its shocking how some are dancing to her nefarious tune. We look to SC  to uphold Constitution - it's that straightforward. But disturbing Q is why Pineapple Maryam is not being charged with contempt?
15,"مینار پاکستان کے سائے تلے پاکستان کی بیٹیوں، بچوں، بزرگ اور نوجوانوں نے یکجاں ہو کر نظام ظلم و جبر کیخلاف اپنی حقیقی آزادی کا مقدمہ پیش کیا۔
Vc: 
@Rohmasoofi
#StatesmanSpeech"
16,آج تو عوام نے حکمرانوں پر ہی کریک ڈاؤن کر دیا
17,حسان نیازی اور اظہر مشوانی نوجوان ہیں جنہوں نے ہمیشہ پاکستان کو پہلی ترجیح دی ہے۔یہ خاندانوں کے غلام ابن غلام بننے کو تیار نہیں۔پاکستان میں ڈاکو راج کو ماننے کو تیار نہیں!! #ReleaseHassaanNiazi #ReleaseAzharMashwani
18,"Crazy Drone Footage of PTI Lahore Jalsa at Minar e Pakistan. Imran Khan enjoying public passion 


#حقیقی_آزادی_جلسہ
#جلسہ_نہیں_ریفرینڈم_ہے
#چلو_چلو_مینار_پاکستان_چلو"
19,"What a disgrace .. Bhikari 
@CMShehbaz
 trying to hide behind “Partisan cry” .. it seems they have no legitimate words to respond to President's letters with.
Calling President's letter a PTI press release will NOT absolve you of your crimes.. you all have practically Suspended… Show more"
20,الحمدللہ ہم پہنچنے، رکاوٹیں توڑ کے پہنچے، کپتان کو سنا اور پاکستان کی بہتری کی اس تحریک کا حصہ بنے۔ ہم پاکستانی عوام کھڑے ہیں  #جلسہ_نہیں_ریفرینڈم_ہے | #حقیقی_آزادی_جلسہ
21,Immediately #ReleaseAzharMashwani !!
22,"Women and their need to nurture.  These in the crowd (and those who couldn’t reach) will never forget the pain endured by the child spirit in Zille Shah. It makes us or breaks us. Either way; he will never be forgotten. 
#حقیقی_آزادی_جلسہ"
23,"پاکستانیوں آپ کا آج کے جلسے میں شامل ہونا کیوں ضروری ہے
 #چلو_چلو_مینار_پاکستان_چلو"
24,حسان نیازی، اظہر مشوانی جیسے پڑھے لکھے نوجوانوں کی رہائی، پاکستانیو کی بے گناہ قید و مشقت، تاریخ کی سب سے زیادہ مہنگائی کیخلاف اور ملک کی حقیقی آزادی کی جنگ کے ریفرنڈم کیلئے کل 25 مارچ مینار پاکستان آئیں اور چوروں کو بتائیں ہم کسی صورت تمہارے سامنے نہیں جھکیں گے۔… Show more
25,"Manhoor Azhar, wife of 
@MashwaniAzhar
 , writes to Chief Justice Pakistan regarding the abduction and illegal detainment of Azhar Mashwani. #ReleaseAzharMashwani"
26,"Pakistan's crackdown on ex-PM Khan’s strong social media team continues. His photographer arrested outside Islamabad high court where Khan appeared for a hearing. Khan's social media team head 
@MashwaniAzhar
 was abducted several days ago & his whereabouts are not known to date."
27,"ہر رکاوٹ، بارش  کے باوجود ہمیں تاریخی جلسہ کرنا ہے۔ آپ جو مرضی کرلیں سب جلسہ گاہ پہنچیں گے، پاکستان کی خاطر !-
@sayedzbukhari
  #ReleaseAzharMashwani #حقیقی_آزادی_جلسہ"
28,"ظلم پھر ظلم ہے
بڑھتا ہے تو مٹ جاتا ہے
 25 مارچ کو مینار پاکستان پر تحریک انصاف کا جلسہ تاریخ رقم کرے گا اور ثابت کرے گا کہ پوری قوم حقیقی آزادی کے حصول کے لیے پر عزم ہے ۔ 

#حقیقی_آزادی_جلسہ"
29,"More than 24h have passed since Azhar Mashwani was abducted. No FIR, warrant. No one has accepted the custody of Azhar Mashwani even after 24 hours since he is missing. Immediately #ReleaseAzharMashwani !!"
30,Lahore’s roads screams AZADI! #حقیقی_آزادی_جلسہ
31,عمران خان کی ہر پیشی کے موقع پر اسلام  آباد پولیس ریاستی دہشتگردی کی حدیں پار کر دیتی ہے ۔ تحریک انصاف کے کارکنان کی بلا جواز گرفتاریاں، عمران خان کی پیشی کی راہ میں رکاوٹ بننا آخر اس سب تماشے کا مقصد کیا ہوتا ہے ؟
32,"تیرا انج دا استقبال ہوسی
نا تیرا خواب و خیال ہوسی

#جلسہ_نہیں_ریفرینڈم_ہے"
33,"ن لیگ کی تاریخ رہی ہے، واحد جماعت جِس نےسُپریم کورٹ پر ڈنڈوں سے حملہ کیا،
ایک بار پھر سے وہ پاکستان کی اعلیٰ عدلیہ پر حملہ آور ہیں، دباؤ ڈال رہے ہیں، بدنام کررہےہیں،
مقصد اِنتخابات سے بھاگنا ہے، لیکن یاد رکھیں پوری قوم اپنے چیف جسٹس آف پاکستان کیساتھ کھڑی ہے!!
#NationSupportsCJP"
34,"زندہ دلان لاہور!! 
#حقیقی_آزادی_جلسہ"
35,فیصل آباد گھنٹہ گھر منٹگھمری بازار PTI ملک زیبی کے گھر پر پولیس چادر اور چار دیواری کا تقدس پامال کررہی ہے
36,"عمران خان بھی ابرارالحق کے ساتھ پڑھتے ہوئے ہے حق ہمارا آزادی 
#حقیقی_آزادی_جلسہ"
