,Unnamed: 0,Tweets
0,0,"First, if the cowards do not tolerate criticism, then they counter the arguments with sticks, bullets + kidnapping. Then, when they use blind force, they hide behind the curtains instead of accepting the responsibility."
1,1,PTI Chairman Imran Khan interview to RT
2,2,"Masha Allah, this video of Khan Sahib"
3,3,"#Real_freedom_meeting !!
Chairman Imran Khan will address the public today at Minar Pakistan Lahore"
4,4,"#ReleaseShahidHussain - he has been abducted by Pakistani govt and colluding arms of the state. 
URGENT! 
UK citizens, pls fill in the simple form-your full postal address MUST be inserted. Press ‘Send my email’-it will go directly to your local MP.
1/2"
5,5,"We’ve been outside the Islamabad high court following Imran Khan’s appearance. We went up live twice, he’s supporters were calm and peaceful. Suddenly police decided to charge them with batons and began hitting whoever they could get a hold of. Several were detained."
6,6,#ZamanPark right now
7,7,"Despite all the sophisticated tactics, people continue to come to Minar Pakistan in large numbers.
 #true_freedom_meeting"
8,8,"This story will also be forced
But we will remember the names of all the oppressors"
9,9,"PTI London's President Waqas Saagar writes a letter to the UK's PM Rishi Sunak highlighting the HR breaches currently taking place in Pakistan under the facist mafia rulers. Urges Rishi Sunak to acknowledge the atrocities in Pakistan and take action. 
#PakistanUnderFasicsm"
10,10,"How to capture this passion? Will you sue for terrorism on the basis of this freedom? This sentiment is a sign of an emerging nation in this age. My Pakistan!
#true_freedom_meeting"
11,11,"It has been almost 18 hours since 
@MashwaniAzhar
 was abducted, still nobody is accepting the responsibility of Azhar's arrest, no information about where he is.

 #ReleaseAzharMashwani"
12,12,Imran Khan took “Har Maidan Fateh” song too seriously. I mean totally winning in Life!
13,13,"Imran Khan will reach the Anti-Terrorism Court
#true_freedom_meeting"
14,14,Sicilian mafia's Pineapple Maryam has started campaign to malign SC judges & its shocking how some are dancing to her nefarious tune. We look to SC  to uphold Constitution - it's that straightforward. But disturbing Q is why Pineapple Maryam is not being charged with contempt?
15,15,"Under the shadow of Minar Pakistan, the daughters, children, elders and youth of Pakistan unitedly presented the case of their true freedom against the system of oppression and oppression.
VC:
@Rohmasoofi
#StatesmanSpeech"
16,16,"Today, the people cracked down on the rulers"
17,17,Hassan Niazi and Azhar Mashwani are young people who have always given Pakistan first priority. They are not ready to become slaves of families. They are not ready to accept bandit rule in Pakistan!! #ReleaseHassaanNiazi #ReleaseAzharMashwani
18,18,"Crazy Drone Footage of PTI Lahore Jalsa at Minar e Pakistan. Imran Khan enjoying public passion 


#حقیقی_آزادی_جلسہ
#جلسہ_نہیں_ریفرینڈم_ہے
#چلو_چلو_مینار_پاکستان_چلو"
19,19,"What a disgrace .. Bhikari 
@CMShehbaz
 trying to hide behind “Partisan cry” .. it seems they have no legitimate words to respond to President's letters with.
Calling President's letter a PTI press release will NOT absolve you of your crimes.. you all have practically Suspended… Show more"
20,20,"Alhamdulillah we reached, broke the barriers, listened to the captain and became a part of this movement for the betterment of Pakistan. We the people of Pakistan stand #true_freedom_meeting"
21,21,Immediately #ReleaseAzharMashwani !!
22,22,"Women and their need to nurture.  These in the crowd (and those who couldn’t reach) will never forget the pain endured by the child spirit in Zille Shah. It makes us or breaks us. Either way; he will never be forgotten. 
#حقیقی_آزادی_جلسہ"
23,23,"Why is it important for Pakistanis to join today's rally?
 #Let's_Let's_Minar_Pakistan_Let's go"
24,24,"For the release of educated youth like Hasan Niazi, Azhar Mashwani, the innocent imprisonment and labor of Pakistanis, against the highest inflation in history and for the referendum of the country's true freedom war, come to Minar Pakistan on March 25 and tell the thieves that we will somehow They will not bow in front of you.… Show more"
25,25,"Manhoor Azhar, wife of 
@MashwaniAzhar
 , writes to Chief Justice Pakistan regarding the abduction and illegal detainment of Azhar Mashwani. #ReleaseAzharMashwani"
26,26,"Pakistan's crackdown on ex-PM Khan’s strong social media team continues. His photographer arrested outside Islamabad high court where Khan appeared for a hearing. Khan's social media team head 
@MashwaniAzhar
 was abducted several days ago & his whereabouts are not known to date."
27,27,"Despite all obstacles, rain, we have to hold a historic meeting. Whatever you do, you will reach the meeting place, for the sake of Pakistan!
@sayedzbukhari
  #ReleaseAzharMashwani #Haqqiqi_Azadi_Jalsa"
28,28,"Cruelty is cruelty
If it grows, it fades away
 The meeting of Tehreek-e-Insaaf at Minar Pakistan on March 25 will make history and prove that the entire nation is determined to achieve true freedom.

#true_freedom_meeting"
29,29,"More than 24h have passed since Azhar Mashwani was abducted. No FIR, warrant. No one has accepted the custody of Azhar Mashwani even after 24 hours since he is missing. Immediately #ReleaseAzharMashwani !!"
30,30,Lahore’s roads screams AZADI! #حقیقی_آزادی_جلسہ
31,31,"On the occasion of every appearance of Imran Khan, Islamabad police crosses the limits of state terrorism. Unjustified arrests of Tehreek-e-Insaf workers, obstruction of Imran Khan's appearance, what is the purpose of all this spectacle?"
32,32,"You are welcome
May your dreams and thoughts come true

#Meeting_is_not_a_referendum"
33,33,"The history of PML-N, the only party which attacked the Supreme Court with sticks, has been
Once again they are attacking, pressuring, defaming the Supreme Judiciary of Pakistan.
The aim is to run away from the elections, but remember that the entire nation stands with its Chief Justice of Pakistan!!
#NationSupportsCJP"
34,34,"Zinda Dalan Lahore!!
#true_freedom_meeting"
35,35,Faisalabad Ghanta Ghar Montgomery Bazar PTI Malik Zebi's house is being violated by the police.
36,36,"Imran Khan is also reading along with Abrarul Haq Haq Hama Azadi
#true_freedom_meeting"
37,37,"Your Zakat enables us to transform lives. Together, we can #EasetheBurdenofCancer & make a difference that will last a lifetime. This Ramazan, give your #Zakat & donations to Shaukat Khanum Hospitals for the treatment of deserving cancer patients. 
Visit http://bit.ly/Zakat23"
38,38,"Today, the people defeated all obstacles and tricks of the caretaker government and announced their decision in favor of Imran Khan.
#true_freedom_meeting"
39,39,"People's Referendum in Lahore Minar Pakistan!
 #true_freedom_meeting"
40,40,"Why are the elite boomers so afraid of the rise of #PTI?
The answer is simple. They are confronting an existential threat to the political discourse they  forged for the past 70 years to benefit them and their generations.
For them, how can this ""nobody"" address thousands. (1/3)"
