,Tweets,label
0,"The word of Jesus is a teaching that touches and shapes life, frees it from the dullness of evil, satisfies and infuses it with a joy that does not pass: it is the better part. Therefore, Mary gives it first place: she stops and listens. The rest will come after. #GospelOfTheDay",religious
1,"We need to reject war, a place of death where fathers and mothers bury their children, where men kill their brothers and sisters without even having seen them, where the powerful decide and the poor die.",religious
2,"We listen to the stifled plea of millions of migrants whose fundamental rights are violated, sadly at times with the complicity of the competent authorities. They are not statistics, but flesh and blood people with faces and dreams, dreams that are sometimes dashed.",religious
3,"Today we want to remember every person with a #disability, especially those suffering because they are living in situations of war or whose disability was caused by combat. 
@LaityFamilyLife",religious
4,"May the #LongNightoftheChurches, taking place in many churches in several European countries, be a moment of encounter. And may it light many lights of hope in the darkness of the night.",religious
5,"Tonight, God draws near to you because you are important to him. From the manger, as food for your life, He tells you: “If you feel consumed by events, if you are devoured by a sense of guilt and inadequacy, if you hunger for justice, I am with you. #Christmas",religious
6,"Each of us is called to #holiness, to a unique and unrepeatable form of holiness. The Lord has a design of love for everyone. He has a dream for your life. Welcome it! Pursue it joyfully! https://vatican.va/content/francesco/en/homilies/2022/documents/20220515-omelia-canonizzazione.html…",religious
7,"Let us #PrayTogether with the children of every continent who today are reciting the Rosary for peace in the world. Let us entrust to Our Lady’s intercession the suffering people of Ukraine and other people who are suffering due to war,violence and misery #1millionchildrenpraying",religious
8,The state of decay of our common home merits the same attention as other global challenges such as grave health crises and wars. #WorldOzoneDay #TimeOfCreation,religious
9,"Перед обличчям небезпеки самознищення, людство повинно усвідомити, що настав час скасувати війну, стерти її з людської історії, перш ніж вона викреслить з історії людину. Кожен політичний лідер замислитися і візьме на себе зобов’язання щодо цього!",religious
10,"Let us #PrayTogether that the Lord might shake us from an individualism that excludes others, to awaken deaf hearts to the needs of their neighbour. Let us overcome the fear, the indifference that kills, the cynical disregard that condemns to death those on the fringes!",religious
11,"The #WordOfGod is for everyone. The Word calls everyone to conversion, the Word makes us heralds. #SundayOfTheWord
https://vatican.va/content/francesco/en/homilies/2023/documents/20230122-domenicadella-paroladidio.html…",religious
12,"Let us do as Jesus did: let us share, let us carry each other’s burdens, let us look at each other with compassion, let us help each other. Let us ask ourselves: am I a person who divides or shares?",religious
13,"It is sad that in these days, which are the holiest and most solemn for all Christians, the deadly roar of weapons is heard rather than the sound of bells announcing the Resurrection. And it is sad that weapons are increasingly taking the place of words",religious
14,"We entrust to Our Lady of Africa the cause of #Peace in #SouthSudan and in the entire African continent. To Our Lady we also entrust peace in our world, especially in the many countries at war, like Ukraine, which suffers so greatly. #PrayTogether",religious
15,"Ми впевнені, що зброєю молитви, посту, милостині та з даром Твоєї благодаті можливо перемінити серця людей і долю всього світу. #СвятийРозарій #Мир",religious
16,"Brothers and sisters, let us walk without fear, in the certainty that the Lord accompanies us always. And let us stay awake lest we be asleep when the Lord passes by. #GospelOfTheDay (Lk 12:32)",religious
17,"It will not be the arms race and strategies of deterrence that will bring peace and security. We need not ask how to pursue wars, but how to stop them. What is needed is creative and farsighted policies capable of moving beyond the categories of opposition.",religious
18,"Is your faith tired? Do you want to reinvigorate it? Look for God’s gaze: sit in adoration, allow yourself to be forgiven in Confession, stand before the Crucified One. In short, let him love you. #Lent",religious
19,"В эти месяцы украинский народ всегда присутствует в моих молитвах. Я молюсь вместе с вами и о вас, дорогие украинские братья, о завтрашнем дне мира, в котором экономические и политические интересы, порождающие войну, наконец уступят место общему благу народов. #Украина #мир",religious
