,Tweets,label
0,,religious
1,"O Allah, remove all arrogance and selfishness from our hearts and teach us to be humble, and always remember You in everything that we do.",religious
2,Allah Has Planned It Beautifully. So Wait Patiently.,religious
3,"We strive to make sure people have something to eat. Of course, it's all possible with your generous contributions. Thank you. 

Help us continue. Donate Today.

 - Zenith/1212 373 076
 - http://Linktr.ee/Islamicstrength",religious
4,"The moment you share something online. 
You have no control over it spreading again. 
Don't share anything that can put your Ahkirah in Danger.",religious
5,"If it's stopping you from getting closer to Allah, then you need to let it go.",religious
6,"Recite Qur'an and establish prayer. Indeed, ˹genuine˺ prayer should deter ˹one˺ from indecency and wickedness. The remembrance of Allah is ˹an˺ even greater ˹deterrent˺. And Allah ˹fully˺ knows what you ˹all˺ do.

- Surah 29. Al-Ankabut, Ayah 45.",religious
7,"”We will certainly test you with a touch of fear and famine and loss of property, life, and crops. Give good news to those who patiently endure. Those, when faced with a disaster, say, “Surely to Allah we belong and to Him we will ˹all˺ return.” 

- Quran (2:155-156)",religious
8,May Allah bless you With endless Happiness.,religious
9,Ma shaa Allah ...can you answer these questions?,religious
10,I pray Ramadan heals all of us and brings us closer to Allah. Aameen,religious
11,"May Allah accept our Dua, fast, worship, and forgive us all.",religious
12,"O, Allah. Make the Qur'an guidance, a light, and mercy to us. O Allah, remind us of what we’ve forgotten from it and allow us to learn what we didn’t know from it.",religious
13,"Remember your reward: Jannah. 

Jannah is not cheap, it doesn't come easily.

we need to work hard & fight our Nafs and Satan.",religious
14,"It takes small steps for big changes. just starts it, then pray hard and ask Allah to guide you. He's the ultimate helper.",religious
15,You woke them up for school but you did not wake them up fajr! You want them to succeed in Duniya But you don't want them to succeed in the Akhirah!.,religious
16,"Allah has perfect timing for everything. Learn to wait on Him. This brings Him honour, and it brings you peace.",religious
17,"Oh Allah, we ask You to grant tranquility in our hearts and in the hearts of those we are unable to help and who are suffering silently.",religious
18,"When you do good and nobody notices, don't worry and get disheartened. Allah knows and that's all that matters. So take heart.",religious
19,"15 days Left Until Ramadan!

Share hope this #Ramadan by feeding the indigents and vulnerable families with #islamicstrength.

Donate today to multiply your blessings during the holy month -  http://linktr.ee/islamicstrength",religious
20,"Talk to Allah. Tell Him how you feel, why you feel the way you feel. Show Him how needy you are of Him. Beg Him. Cry to Him.",religious
21,"Make Jummah a day for earning instant rewards by giving weekly automated sadaqah. 

http://Linktr.ee/Islamicstrength",religious
22,"THINGS WE CAN DO TO GET INTO THE RAMADAN SPIRIT:

Make up days of fasting
Start reading the Quran
Ask forgiveness from Allah 
Make a list of Ramadan goals
Make a list of special Duas",religious
23,"It's Friday, the Best Day of the Week. Be sure to attend Jumu’ah, recite Surat Al-kahf, and pray with loved ones today. May Allah accept all our acts of worship, Grant us success in this life and the hereafter. Ameen",religious
24,"Whatever position you have in life, be humble. Don’t compare yourself to others. It’s Allah who raises you, not the people around you!",religious
25,"O Allah, we ask You for the Paradise and for that which brings one closer to it, in word and deed, and we seek refuge in You from Hell and from that which brings one closer to it, in word and deed. And we ask You to make every decree that You decree concerning us good.",religious
26,"Fight shaytan, fight your nafs, don't let anything bring you down, Allah is with you.",religious
27,"“Allah does not burden a soul beyond that it can bear.” 

-Al Qur’aan | 2:286",religious
28,No person can hold you back when Allah has decided to raise you up.,religious
29,"With Ramadan around the corner, many of our less fortunate brothers and sisters will have nothing to break their fast with. Together we can change that, and ensure they have enough for iftar and suhur.

Link ➤ http://linktr.ee/islamicstrength",religious
30,Sometimes the people you're trying hard to help end up being the first to blame you when something goes wrong. Don't lose focus. Stay strong.,religious
31,"There are 2 roads you can take:
 
“Remember me and I will remember you.” -Qur’aan 2:152 

“They forget Allah so he forgets them.” -Qur’aan 9:67",religious
