,Tweets,label
0,"With all the hustle and bustle going on around you, don’t neglect rest. Rest is self-care. Don’t let anyone tell you otherwise. It’s crucial to your well-being so you can come back stronger. Don’t ignore it. Rest up.",religious
1,Never feel like you have to go it alone. The Almighty is always there in both good and bad times. You’ll never have to face anything on your own as long as you call out to Him. He’s there waiting for you to turn back to Him. Do it today.,religious
2,"Be prepared to have the most unexpected people let you down. It’s bound to happen at some stage. Amid all this, be yourself and spread goodness as much as possible but don’t expect goodness from everyone.",religious
3,"Almighty. Protect us from the greed of our own soul. You know how we’re constantly struggling against worldly pleasures, hypocrisy & insincerity, hatred & envy, arrogance & pride etc. Help us to purify our hearts against such evil traits which Satan has beautified.",religious
4,"Bit by bit, we're being trained by social media to compare our lives instead of appreciating what we have. Be wary before it destroys us. Cultivate an attitude of gratitude.",religious
5,"When your heart is heavy & burdened & your mind sees no way out, that’s when you need to trust the Almighty & depend on Him even more. Don’t entertain negative thoughts from Satan. Rise above it. It won’t be easy but you must do it. Bear utmost patience & He will find a way out.",religious
6,"At times, friends & loved ones are those who hurt us the most. Such is life. Considering the nature of these relationships, some incidents can leave a deep wound, threatening to affect friendships & harm family ties. Turn to the Almighty; only He can help us heal & forgive.",religious
7,All shades of colours are beautiful. The Almighty doesn’t tolerate arrogance and racism. It’s a sin. He is only concerned with the state of your heart and your level of piety. Keep your focus on the right things.,religious
8,You may wake today thinking it’s going to be the most difficult day to get through. But the Almighty knows you’ll get by just fine. The pain will ease and the hurt will pass. It’s because nothing lasts in this world. He has promised better days ahead.,religious
9,"The life lessons sent your way are never wasted. The Almighty doesn’t waste anything. He has a reason & purpose for everything that happens in your life. It is all  part of your journey. The challenges, setbacks, delays, roadblocks are all there for your own good. Trust Him.",religious
10,"Use whatever the Almighty has bestowed on you to help others as much as you can. It need not be material. Time, energy, words of motivation, a listening ear, a helping hand can go a long way towards brightening someone’s day.",religious
11,"Even when disagreeing with someone, choose good words. There’s no need to be rude and hurtful because you don’t share their point of view. Be polite and respectful.",religious
12,"If you live your life making decisions based on what others will think of you, it’s time for a rethink. If you live your life for others, you’ll never know peace because nothing you do will be good enough. You can’t please everyone.",religious
13,"Can you spot Mufti Menk in a crowd?
This is Makkah. No discrimination. No matter who you are or what you have, two pieces of white cloth. Everyone is equal.",religious
14,"Don’t let people who’ve not walked in your shoes tell you how to live your life. Your journey is yours alone, known only to you and the One who made you. Seek your strength from Him. Let people say what they want. Trust your intuition. Trust Him.",religious
15,"Almighty. Keep us steadfast in our prayers and worship done solely for You. Grant us humility and submission always, never showing off or feeling that we’re more pious than the person next to us. Protect us from being arrogant and to never judge others.",religious
16,"If you’re not devoting your time to the Almighty on a daily basis, you’re less likely to be able to handle the stress when things go wrong. You’ll be turning to Him in a knee-jerk reaction, expecting Him to fix everything. Is that fair?",religious
17,"Disappointment is not a bad thing. When something we dislike happens, we think it’s a mistake. We get upset. We forget that the Almighty is in control. He sees things we don’t. The bigger picture will emerge soon and we will thank Him for His Infinite Wisdom.",religious
18,"Some people keep cursing their fate, wondering why it’s always them who have to suffer. Why is the Almighty always testing me? Why is He rewarding those who sin with more wealth? The truth is each one of us is tested differently. He knows what He’s doing. Press on.",religious
19,"When we’re depressed we tend to think, “Is this all my life is going to be? Is it never going to get better?” This is the trick of Satan who will keep playing on your emotions. Remember this life is temporary. An everlasting life awaits us.",religious
20,"Everything is the way it is for a reason. You’ve got to believe it. You’ve got to trust the Almighty’s plan for you. Whatever’s going on in your life, the journey continues. Nothing comes to a standstill. Have faith that it will all work out in the end.",religious
21,Keep asking the Almighty to help us realize our #Ramadan goal in getting closer to Him. Soften the hearts of those who’ve yet to feel the sweetness of this month; don’t let them give in to despair. Give them the strength to keep trying. Grant us Your Mercy and Forgiveness.,religious
22,"Trials are given to test our faith. But it can be difficult not to look at someone & think that they have it easier than we do. Break away from that mentality. We can let our trials break us, make us bitter, or we can let it refine us & make us stronger. Choose wisely.",religious
23,"Never think that the Almighty has forgotten about you. He’s All Knowing. He has seen the tears, the heartache and pain. None of it will be wasted. He will pave a way for you and you’ll be stronger than before. Be patient.",religious
24,Life can be difficult at times. The never-ending running around & stress to get things done. Don’t let it make you resent life. Learn to look at those who have less than you. Those who would trade places with you at the drop of a hat. Thank the Almighty for everything.,religious
25,"With hundreds of inspirational, verified causes to choose from you have the opportunity to make an impact on countless lives by supporting a different cause every day in Ramadan. Check out my team and join the challenge today! 
http://launchgood.com/teammenk",religious
26,You want inner peace? Don’t worry about what  others may think of you or whatever people may say. Lower your expectation of others. Don’t be distracted by the petty talk people may throw at you. Focus on what you want to achieve and keep going.,religious
27,"Get rid of arrogance from your heart. Don’t ever feel the need to look down on someone; not for anything that the Almighty has given you - wealth, power, good looks etc. Remember His Might and Power and how He can take away your blessings in seconds.",religious
28,"Look at those who have less than you in worldly matters. Don’t look at those who have more than you. Only then will you be grateful. Remember, the more you complain about things, the harder things will be for you. Learn to look for the positive in every negative.",religious
29,Be careful when you blurt out harsh words in harsh tones. The hurt might pierce deeper than you could ever imagine. You probably think a simple sorry can fix it. But think again. Words can leave scars. Some scars are more permanent than others.,religious
30,"Let them do what they want. If they have evil intent, rest assured that the Almighty doesn't allow evil done to people to go unpunished. We have to keep moving forward. Leave it to the Almighty and trust Him to show us how to handle each situation.",religious
31,There’s so much suffering going on around us. It’s a fact that we are better off than so many people in the world. Yet we complain. Our struggles are small compared to others. Count our blessings before the Almighty takes everything away.,religious
